year,count
1980,2
1981,10
1982,5
1983,1
1984,3
1985,1
1986,4
1987,2
1988,1
1989,1
1990,0
1991,3
1992,3
1993,2
1994,11
1995,29
1996,23
1997,27
1998,23
1999,16
2000,20
2001,36
2002,79
2003,73
2004,88
2005,96
2006,69
2007,85
2008,83
2009,90
2010,81
2011,94
2012,48
2013,59
2014,47
2015,34
2016,47
