year,count
1980,0
1981,3
1982,5
1983,5
1984,1
1985,4
1986,6
1987,2
1988,4
1989,3
1990,3
1991,6
1992,6
1993,11
1994,11
1995,13
1996,14
1997,18
1998,25
1999,18
2000,24
2001,43
2002,77
2003,87
2004,66
2005,83
2006,54
2007,42
2008,62
2009,29
2010,31
2011,37
2012,11
2013,36
2014,10
2015,13
2016,15
