year,count
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,1
1987,3
1988,3
1989,2
1990,2
1991,5
1992,5
1993,9
1994,17
1995,24
1996,28
1997,23
1998,26
1999,33
2000,29
2001,41
2002,55
2003,48
2004,60
2005,71
2006,110
2007,103
2008,112
2009,103
2010,103
2011,95
2012,78
2013,71
2014,89
2015,78
2016,54
