year,count
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,1
1989,10
1990,3
1991,9
1992,7
1993,0
1994,3
1995,4
1996,6
1997,8
1998,8
1999,11
2000,17
2001,10
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
