year,count
1980,0
1981,1
1982,2
1983,0
1984,3
1985,0
1986,1
1987,0
1988,1
1989,0
1990,2
1991,1
1992,2
1993,2
1994,8
1995,12
1996,22
1997,36
1998,49
1999,49
2000,43
2001,71
2002,103
2003,109
2004,71
2005,76
2006,75
2007,84
2008,82
2009,84
2010,57
2011,65
2012,30
2013,16
2014,27
2015,18
2016,24
